,potential,finishing,short_passing,volleys,dribbling,long_passing,ball_control,reactions,shot_power,long_shots,interceptions,positioning,vision,standing_tackle,sliding_tackle,overall_rating
0,75.0,61.0,75.0,54.0,66.0,66.0,72.0,72.0,69.0,56.0,73.0,63.0,69.0,74.0,67.0,73.0
1,75.0,51.0,66.0,38.0,72.0,68.0,70.0,59.0,49.0,60.0,27.0,61.0,64.0,24.0,14.0,64.0
2,74.0,45.0,65.0,38.0,60.0,64.0,66.0,72.0,60.0,36.0,75.0,33.0,50.0,76.0,75.0,74.0
3,83.0,85.0,70.0,83.0,78.0,58.0,83.0,80.0,88.0,78.0,32.0,82.0,64.0,34.0,22.0,83.0
4,67.0,39.0,64.0,38.0,62.0,59.0,58.0,59.0,58.0,38.0,69.0,44.0,48.0,66.0,60.0,62.0
5,70.0,72.0,62.0,65.0,71.0,52.0,72.0,64.0,66.0,64.0,48.0,71.0,67.0,24.0,22.0,70.0
6,66.0,34.0,56.0,35.0,35.0,46.0,47.0,62.0,41.0,33.0,65.0,21.0,45.0,65.0,59.0,64.0
7,67.0,63.0,54.0,60.0,70.0,45.0,55.0,72.0,61.0,52.0,27.0,47.0,55.0,15.0,19.0,62.0
8,67.0,42.0,54.0,39.0,37.0,55.0,56.0,66.0,65.0,56.0,69.0,43.0,44.0,64.0,63.0,65.0
9,80.0,67.0,74.0,68.0,76.0,73.0,83.0,69.0,83.0,80.0,38.0,69.0,76.0,37.0,28.0,75.0
10,74.0,69.0,58.0,61.0,66.0,46.0,68.0,63.0,73.0,63.0,43.0,68.0,46.0,25.0,25.0,68.0
11,75.0,63.0,68.0,65.0,74.0,65.0,72.0,57.0,66.0,62.0,21.0,63.0,64.0,26.0,28.0,69.0
12,69.0,48.0,60.0,33.0,65.0,58.0,65.0,64.0,62.0,55.0,66.0,55.0,52.0,65.0,61.0,65.0
13,72.0,53.0,67.0,63.0,56.0,56.0,66.0,63.0,68.0,62.0,61.0,49.0,57.0,66.0,64.0,63.0
14,79.0,81.0,67.0,75.0,53.0,45.0,68.0,77.0,80.0,67.0,38.0,82.0,47.0,35.0,23.0,75.0
15,74.0,50.0,62.0,53.0,44.0,66.0,56.0,76.0,73.0,66.0,78.0,55.0,38.0,78.0,74.0,74.0
16,77.0,42.0,70.0,41.0,65.0,73.0,69.0,76.0,65.0,58.0,75.0,56.0,64.0,75.0,79.0,72.0
17,72.0,54.0,60.0,63.0,61.0,55.0,61.0,59.0,55.0,54.0,64.0,67.0,71.0,42.0,49.0,62.0
18,79.0,56.0,63.0,36.0,56.0,56.0,58.0,61.0,65.0,57.0,62.0,42.0,52.0,60.0,62.0,58.0
19,64.0,50.0,57.0,58.0,65.0,45.0,59.0,64.0,52.0,54.0,30.0,55.0,52.0,58.0,50.0,61.0
20,74.0,12.0,55.0,28.0,43.0,53.0,53.0,56.0,55.0,31.0,62.0,34.0,41.0,64.0,63.0,61.0
21,79.0,69.0,75.0,70.0,83.0,70.0,79.0,75.0,73.0,71.0,45.0,73.0,71.0,46.0,47.0,76.0
22,75.0,23.0,65.0,26.0,33.0,59.0,62.0,71.0,43.0,29.0,80.0,23.0,51.0,76.0,76.0,75.0
23,71.0,48.0,68.0,53.0,69.0,70.0,74.0,69.0,59.0,56.0,71.0,58.0,58.0,68.0,70.0,71.0
24,76.0,58.0,76.0,33.0,67.0,74.0,74.0,75.0,68.0,70.0,74.0,40.0,75.0,76.0,74.0,76.0
25,67.0,42.0,65.0,42.0,66.0,54.0,65.0,58.0,60.0,47.0,43.0,58.0,53.0,55.0,43.0,61.0
26,70.0,11.0,21.0,5.0,12.0,22.0,21.0,59.0,19.0,8.0,22.0,15.0,22.0,4.0,6.0,53.0
27,86.0,68.0,73.0,64.0,84.0,61.0,82.0,81.0,65.0,59.0,28.0,73.0,74.0,31.0,25.0,74.0
28,72.0,45.0,66.0,51.0,60.0,64.0,68.0,73.0,75.0,65.0,74.0,45.0,45.0,74.0,72.0,72.0
29,67.0,14.0,28.0,14.0,13.0,38.0,18.0,64.0,41.0,13.0,20.0,10.0,22.0,13.0,11.0,67.0
30,70.0,62.0,67.0,64.0,66.0,65.0,69.0,62.0,72.0,69.0,45.0,64.0,65.0,35.0,37.0,65.0
